University,Year,Partner Country Code,Partner University Code
HGI,2023,PAK,P3
HGI,2023,KSA,KS1
HGI,2023,RUS,RU16
HGI,2023,RUS,RU7
HGI,2023,RUS,RU12
HGI,2023,ROU,R11
HGI,2023,ARM,AR2
HGI,2023,ARM,AR2
HGI,2023,KUW,KU1
HGI,2023,IRN,IR5
HGI,2023,ARG,ARG1
HGI,2023,AZE,AZ1
HGI,2023,TUN,TUN1
HGI,2023,KOR,K8
HGI,2023,MAR,MR1
HGI,2023,ITA,I7
HGI,2023,FRA,FR1
HGI,2023,KAZ,KA3
HGI,2023,KAZ,KA4
HGI,2023,ARE,AR2
HGI,2023,ARE,AR2
HGI,2023,BAH,BH1
HGI,2023,TJK,TJ1
HGI,2023,HUN,H3
HGI,2024,CRO,HR1
HGI,2024,TUR,TR3
HGI,2024,SUI,SU1
HGI,2024,UKR,UK3
HGI,2024,KGZ,KG2
HGI,2024,AFG,AF1
HGI,2024,IND,IN1
HGI,2024,UZB,U14
HGI,2024,UZB,U15
HGI,2024,PLE,PL1
HGI,2024,PAK,P1
HGI,2024,PAK,P2
HGI,2024,PAK,P3
HGI,2024,KSA,KS1
HGI,2024,RUS,RU16
HGI,2024,RUS,RU7
HGI,2024,RUS,RU12
HGI,2024,ROU,R11
HGI,2024,ARM,AR2
HGI,2024,ARM,AR2
HGI,2024,KUW,KU1
HGI,2024,IRN,IR5
HGI,2024,ARG,ARG1
HGI,2024,AZE,AZ1
HGI,2024,TUN,TUN1
HGI,2024,KOR,K8
HGI,2024,MAR,MR1
HGI,2024,ITA,I7
HGI,2024,FRA,FR1
HGI,2024,KAZ,KA3
HGI,2024,KAZ,KA4
HGI,2024,KAZ,KA5
HGI,2024,ARE,AR2
HGI,2024,ARE,AR2
HGI,2024,BAH,BH1
HGI,2024,TJK,TJ1
HGI,2024,TJK,TJ2
HGI,2024,HUN,H3
HGI,2024,JPN,J5
HGI,2024,SRB,SR1
HGI,2024,ABS,A2
HGI,2025,CRO,HR1
HGI,2025,TUR,TR3
HGI,2025,SUI,SU1
HGI,2025,UKR,UK3
HGI,2025,KGZ,KG2
HGI,2025,AFG,AF1
HGI,2025,IND,IN1
HGI,2025,UZB,U14
HGI,2025,UZB,U15
HGI,2025,PLE,PL1
HGI,2025,PAK,P1
HGI,2025,PAK,P2
HGI,2025,PAK,P3
HGI,2025,KSA,KS1
HGI,2025,RUS,RU16
HGI,2025,RUS,RU7
HGI,2025,RUS,RU12
HGI,2025,ROU,R11
HGI,2025,ARM,AR2
HGI,2025,ARM,AR2
HGI,2025,KUW,KU1
HGI,2025,IRN,IR5
HGI,2025,ARG,ARG1
HGI,2025,AZE,AZ1
HGI,2025,TUN,TUN1
HGI,2025,KOR,K8
HGI,2025,MAR,MR1
HGI,2025,ITA,I7
HGI,2025,FRA,FR1
HGI,2025,KAZ,KA3
HGI,2025,KAZ,KA4
HGI,2025,KAZ,KA5
HGI,2025,ARE,AR2
HGI,2025,ARE,AR2
HGI,2025,BAH,BH1
HGI,2025,TJK,TJ1
HGI,2025,TJK,TJ2
HGI,2025,HUN,H3
HGI,2025,JPN,J5
HGI,2025,SRB,SR1
HGI,2025,ABS,A2
TDYDI,2007,,
TDYDI,2008,,
TDYDI,2009,,
TDYDI,2010,,
TDYDI,2011,,
TDYDI,2012,,
TDYDI,2013,,
TDYDI,2014,,
TDYDI,2015,BLR,B5
TDYDI,2016,BLR,B5
TDYDI,2017,BLR,B5
TDYDI,2017,PAK,P2
TDYDI,2018,BLR,B5
TDYDI,2018,BLR,B6
TDYDI,2018,BLR,B7
TDYDI,2018,PAK,P2
TDYDI,2019,BLR,B5
TDYDI,2019,BLR,B6
TDYDI,2019,BLR,B7
TDYDI,2019,PAK,P2
TDYDI,2019,ROU,R9
TDYDI,2019,ROU,R10
TDYDI,2019,UZB,U3
TDYDI,2020,BLR,B5
TDYDI,2020,BLR,B6
TDYDI,2020,BLR,B7
TDYDI,2020,PAK,P2
TDYDI,2020,ROU,R9
TDYDI,2020,ROU,R10
TDYDI,2020,UZB,U3
TDYDI,2020,RUS,RU7
TDYDI,2020,SGP,SG1
TDYDI,2021,BLR,B5
TDYDI,2021,BLR,B6
TDYDI,2021,BLR,B7
TDYDI,2021,PAK,P2
TDYDI,2021,ROU,R9
TDYDI,2021,ROU,R10
TDYDI,2021,UZB,U3
TDYDI,2021,RUS,RU7
TDYDI,2021,SGP,SG1
TDYDI,2022,BLR,B5
TDYDI,2022,BLR,B6
TDYDI,2022,BLR,B7
TDYDI,2022,PAK,P2
TDYDI,2022,ROU,R9
TDYDI,2022,ROU,R10
TDYDI,2022,UZB,U3
TDYDI,2022,RUS,RU7
TDYDI,2022,SGP,SG1
TDYDI,2023,BLR,B5
TDYDI,2023,BLR,B6
TDYDI,2023,PAK,P2
